"FLAVIO  VEITZMAN
",Sócio,Latin Lawyer 250,2020,Corporate and M&A,,,
"FLAVIO LEMOS BELLIBONI
",Sócio,,,,,,
"FRANCISCO WERNECK DE ALBUQUERQUE MARANHÃO
",Sócio,Latin Lawyer 250,2020,Energy,The Legal 500 Latin America,2021,Energy and Natural Resources: Hydrocarbons
"FRANCO  MUSETTI GROTTI
",Sócio,Chambers Latin America,2021,Real Estate,Latin Lawyer 250,2020,Real Estate & Tourism 
"GIANCARLO  CHAMMA MATARAZZO
",Sócio,Chambers Brazil,2021,Tax: Litigation,Chambers High Net Worth,2020,Private Wealth Law
"GILBERTO  GIUSTI
",Sócio,Chambers Brazil,2021,Dispute Resolution: Arbitration / Litigation ,Latin Lawyer 250,2020,Arbitration / Litigation 
"GIULIANO  COLOMBO
",Sócio,Chambers Brazil,2021,Bankruptcy/Restructuring - Band 1,Latin Lawyer 250,2020,Restructuring & Insolvency / Management 
"GUILHERME  LEITE
",Sócio,Latin Lawyer 250,2020,Corporate and M&A / Management ,IFLR 1000,2021,M&A 
"GUILHERME  SAMPAIO MONTEIRO
",Sócio,Chambers Latin America,2021,Capital Markets ,Latin Lawyer 250,2020,Corporate and M&A / Capital Markets
"HENRIQUE LANG
",Sócio,Chambers Latin America,2021, Capital Markets ,Latin Lawyer 250,2020,Corporate and M&A / Capital Markets 
"HENRY  SZTUTMAN
",Sócio,Chambers Latin America,2021,Corporate/M&A ,Latin Lawyer 250,2020,Corporate and M&A / Private Equity 
"JOAMIR MÜLLER ROMITI ALVES
",Sócio,Latin Lawyer 250,2020,Corporate and M&A,,,
"JOÃO MARCELO  G. PACHECO
",Sócio,The Legal 500 Latin America,2021,Corporate and M&A ,IFLR 1000,2021,Banking and Finance / M&A
"JORGE  F. LOPES
",Sócio,,,,,,
"JOSÉ ALEXANDRE BUAIZ NETO
",Sócio,Chambers Brazil,2021,Competition/Antitrust ,Latin Lawyer 250,2020,Antitrust & Competition / Anti-corruption investigations and compliance
"JOSÉ CARLOS JUNQUEIRA SAMPAIO MEIRELLES
",Sócio,Latin Lawyer 250,2020,Corporate and M&A / Banking & Finance / Capital Markets / Project Finance & Infrastructure / Pro Bono ,LACCA Approved,2021,Capital Markets
"JOSÉ LUIZ  HOMEM DE MELLO
",Sócio,Chambers Latin America,2021,Banking & Finance ,Latin Lawyer 250,2020,Corporate and M&A / Banking & Finance / Capital Markets 
"JOSÉ MAURO DECOUSSEAU MACHADO
",Sócio,Chambers Brazil,2021,Intellectual Property,Latin Lawyer 250,2020,"Data, Technology and Privacy Law / Intellectual Property"
"JOSÉ ROBERTO  OLIVA JUNIOR
",Sócio,Chambers Latin America,2021,Energy & Natural Resources: Power,The Legal 500 Latin America,2021,Electricity
JÚLIO  CÉSAR BUENO,Sócio,Chambers Latin America,2021,Projects,Latin Lawyer 250,2020,Project Finance & Infrastructure / Arbitration
